counter;index;instructionType;totalChars 
0;0;original;31502 
2;1;ExpressionStatement;31489 
11;9;ExpressionStatement;31484 
13;10;ExpressionStatement;31471 
14;10;ExpressionStatement;31184 
16;11;ExpressionStatement;31166 
19;13;ExpressionStatement;31140 
23;16;ExpressionStatement;31122 
24;16;ExpressionStatement;31090 
25;16;ExpressionStatement;31088 
26;16;ExpressionStatement;31068 
27;16;ExpressionStatement;31026 
29;17;ExpressionStatement;31018 
30;17;ExpressionStatement;30997 
35;21;ExpressionStatement;30952 
36;21;ExpressionStatement;30933 
37;21;ExpressionStatement;30920 
38;21;ExpressionStatement;30915 
39;21;ExpressionStatement;30910 
40;21;ExpressionStatement;30895 
41;21;ExpressionStatement;30884 
42;21;ExpressionStatement;30850 
43;21;ExpressionStatement;30844 
45;22;ExpressionStatement;30831 
46;22;ExpressionStatement;30808 
47;22;ExpressionStatement;30799 
58;32;ExpressionStatement;30789 
59;32;ExpressionStatement;30752 
60;32;ExpressionStatement;30739 
61;32;ExpressionStatement;30670 
62;32;ExpressionStatement;30670 
63;32;ExpressionStatement;30670 
64;32;ExpressionStatement;30668 
66;33;ExpressionStatement;30601 
67;33;ExpressionStatement;30600 
68;33;ExpressionStatement;30545 
71;35;ExpressionStatement;30540 
72;35;ExpressionStatement;30503 
73;35;ExpressionStatement;30490 
74;35;ExpressionStatement;30452 
75;35;ExpressionStatement;30452 
76;35;ExpressionStatement;30428 
78;36;ExpressionStatement;30404 
79;36;ExpressionStatement;30388 
80;36;ExpressionStatement;30385 
81;36;ExpressionStatement;30317 
82;36;ExpressionStatement;30303 
83;36;ExpressionStatement;30285 
86;38;ExpressionStatement;30275 
87;38;ExpressionStatement;30259 
88;38;ExpressionStatement;30246 
90;39;ExpressionStatement;30230 
91;39;ExpressionStatement;30217 
92;39;ExpressionStatement;30206 
94;40;ExpressionStatement;30192 
95;40;ExpressionStatement;30171 
98;42;ExpressionStatement;30161 
99;42;ExpressionStatement;30114 
100;42;ExpressionStatement;30101 
101;42;ExpressionStatement;30095 
102;42;ExpressionStatement;30058 
103;42;ExpressionStatement;30052 
104;42;ExpressionStatement;30034 
105;42;ExpressionStatement;30016 
108;44;ExpressionStatement;30006 
109;44;ExpressionStatement;29957 
110;44;ExpressionStatement;29944 
111;44;ExpressionStatement;29938 
112;44;ExpressionStatement;29902 
113;44;ExpressionStatement;29896 
114;44;ExpressionStatement;29878 
115;44;ExpressionStatement;29860 
118;46;ExpressionStatement;29855 
121;48;ExpressionStatement;29811 
122;48;ExpressionStatement;29795 
123;48;ExpressionStatement;29782 
124;48;ExpressionStatement;29773 
125;48;ExpressionStatement;29759 
126;48;ExpressionStatement;29741 
128;49;ExpressionStatement;29537 
129;49;ExpressionStatement;29525 
130;49;ExpressionStatement;29505 
131;49;ExpressionStatement;29505 
132;49;ExpressionStatement;29505 
133;49;ExpressionStatement;29505 
134;49;ExpressionStatement;29505 
135;49;ExpressionStatement;29505 
136;49;ExpressionStatement;29505 
137;49;ExpressionStatement;29505 
140;51;ExpressionStatement;29495 
142;52;ExpressionStatement;29485 
144;53;ExpressionStatement;29472 
153;61;ExpressionStatement;29459 
158;65;ExpressionStatement;29453 
168;74;ExpressionStatement;29441 
170;75;ExpressionStatement;29430 
171;75;ExpressionStatement;29424 
172;75;ExpressionStatement;29413 
173;75;ExpressionStatement;29351 
174;75;ExpressionStatement;29347 
176;76;ExpressionStatement;29327 
177;76;ExpressionStatement;29321 
178;76;ExpressionStatement;29315 
179;76;ExpressionStatement;29306 
180;76;ExpressionStatement;29285 
181;76;ExpressionStatement;29271 
182;76;ExpressionStatement;29266 
183;76;ExpressionStatement;29260 
184;76;ExpressionStatement;29246 
185;76;ExpressionStatement;29217 
186;76;ExpressionStatement;29192 
187;76;ExpressionStatement;29186 
192;80;ExpressionStatement;29159 
193;80;ExpressionStatement;29150 
197;83;ExpressionStatement;29119 
213;98;ExpressionStatement;29108 
214;98;ExpressionStatement;29096 
222;105;ExpressionStatement;29092 
226;108;ExpressionStatement;29083 
227;108;ExpressionStatement;29072 
238;118;ExpressionStatement;29060 
239;118;ExpressionStatement;29054 
240;118;ExpressionStatement;29032 
241;118;ExpressionStatement;29026 
243;119;ExpressionStatement;29013 
244;119;ExpressionStatement;29007 
248;122;ExpressionStatement;28990 
256;129;ExpressionStatement;28976 
257;129;ExpressionStatement;28971 
270;141;ExpressionStatement;28957 
272;142;ExpressionStatement;28946 
292;161;ExpressionStatement;28941 
296;164;ExpressionStatement;28936 
298;165;ExpressionStatement;28923 
299;165;ExpressionStatement;28022 
300;165;ExpressionStatement;28008 
301;165;ExpressionStatement;27990 
309;172;ExpressionStatement;27988 
316;178;ExpressionStatement;27954 
317;178;ExpressionStatement;27935 
318;178;ExpressionStatement;27922 
319;178;ExpressionStatement;27917 
320;178;ExpressionStatement;27912 
321;178;ExpressionStatement;27897 
322;178;ExpressionStatement;27886 
323;178;ExpressionStatement;27861 
324;178;ExpressionStatement;27855 
327;180;ExpressionStatement;27850 
328;180;ExpressionStatement;27833 
329;180;ExpressionStatement;27820 
330;180;ExpressionStatement;27810 
331;180;ExpressionStatement;27804 
332;180;ExpressionStatement;27755 
333;180;ExpressionStatement;27741 
334;180;ExpressionStatement;27723 
344;189;ExpressionStatement;27717 
345;189;ExpressionStatement;27715 
364;207;ExpressionStatement;27709 
366;208;ExpressionStatement;27700 
370;211;ExpressionStatement;27682 
371;211;ExpressionStatement;27676 
392;231;ExpressionStatement;27648 
400;238;ExpressionStatement;27644 
422;259;ExpressionStatement;27639 
428;264;ExpressionStatement;27628 
435;270;ExpressionStatement;27622 
436;270;ExpressionStatement;27610 
461;294;ExpressionStatement;27604 
470;302;ExpressionStatement;27597 
476;307;ExpressionStatement;27589 
480;310;ExpressionStatement;27575 
484;313;ExpressionStatement;27528 
499;327;ExpressionStatement;27528 
509;336;ExpressionStatement;27503 
510;336;ExpressionStatement;27495 
511;336;ExpressionStatement;27472 
512;336;ExpressionStatement;27454 
515;338;ExpressionStatement;27442 
525;347;ExpressionStatement;27425 
526;347;ExpressionStatement;27416 
528;348;ExpressionStatement;27406 
529;348;ExpressionStatement;27402 
533;351;ExpressionStatement;27395 
538;355;ExpressionStatement;27385 
539;355;ExpressionStatement;27370 
541;356;ExpressionStatement;27359 
542;356;ExpressionStatement;27348 
543;356;ExpressionStatement;27337 
544;356;ExpressionStatement;27333 
549;360;ExpressionStatement;27320 
550;360;ExpressionStatement;27313 
554;363;ExpressionStatement;27306 
556;364;ExpressionStatement;27298 
558;365;ExpressionStatement;27289 
559;365;ExpressionStatement;27280 
560;365;ExpressionStatement;27271 
561;365;ExpressionStatement;27258 
562;365;ExpressionStatement;27252 
563;365;ExpressionStatement;27221 
565;366;ExpressionStatement;27224 
566;366;ExpressionStatement;27215 
568;367;ExpressionStatement;27199 
569;367;ExpressionStatement;27190 
570;367;ExpressionStatement;27177 
