lib	round	start	finish
browserify	0	38	42
browserify	0	48	48
browserify	0	54	54
browserify	0	63	65
browserify	0	73	79
browserify	0	91	91
browserify	0	99	102
browserify	0	106	106
browserify	0	113	129
browserify	0	136	138
browserify	0	141	144
browserify	0	156	157
browserify	0	165	166
browserify	0	171	176
browserify	0	180	195
browserify	0	199	199
browserify	0	226	226
browserify	0	241	243
browserify	0	255	255
browserify	0	269	272
browserify	0	287	287
browserify	0	298	306
browserify	0	312	312
browserify	0	315	318
browserify	0	321	321
browserify	0	327	329
browserify	0	332	332
browserify	0	340	340
browserify	0	344	344
browserify	0	347	350
browserify	0	362	372
browserify	0	376	378
browserify	0	388	391
browserify	0	422	432
browserify	0	436	443
browserify	0	449	449
browserify	0	452	460
browserify	0	463	474
browserify	0	481	482
browserify	0	487	487
browserify	0	490	492
browserify	0	501	501
browserify	0	506	507
browserify	0	518	523
browserify	0	536	540
browserify	0	543	543
browserify	0	546	547
browserify	0	556	556
browserify	0	564	565
browserify	0	577	577
browserify	0	591	594
browserify	0	600	603
browserify	0	609	617
browserify	0	623	634
browserify	0	639	640
browserify	0	643	682
browserify	0	688	715
browserify	0	719	722
d3-node	0	2	4
d3-node	0	8	13
d3-node	0	22	30
d3-node	0	35	36
d3-node	0	41	41
d3-node	0	55	55
d3-node	0	69	79
decimal.js	0	4	4
decimal.js	0	245	250
decimal.js	0	274	275
decimal.js	0	284	291
decimal.js	0	294	296
decimal.js	0	305	305
decimal.js	0	308	308
decimal.js	0	315	317
decimal.js	0	321	322
decimal.js	0	327	329
decimal.js	0	335	335
decimal.js	0	345	348
decimal.js	0	454	457
decimal.js	0	463	466
decimal.js	0	469	469
decimal.js	0	473	474
decimal.js	0	513	530
decimal.js	0	534	535
decimal.js	0	538	539
decimal.js	0	565	567
decimal.js	0	598	604
decimal.js	0	633	640
decimal.js	0	664	671
decimal.js	0	700	700
decimal.js	0	705	710
decimal.js	0	738	740
decimal.js	0	744	745
decimal.js	0	751	756
decimal.js	0	784	784
decimal.js	0	791	791
decimal.js	0	795	795
decimal.js	0	811	811
decimal.js	0	820	820
decimal.js	0	914	914
decimal.js	0	917	918
decimal.js	0	922	924
decimal.js	0	933	933
decimal.js	0	937	937
decimal.js	0	940	945
decimal.js	0	962	965
decimal.js	0	969	969
decimal.js	0	975	975
decimal.js	0	1031	1032
decimal.js	0	1037	1037
decimal.js	0	1043	1043
decimal.js	0	1080	1083
decimal.js	0	1100	1100
decimal.js	0	1106	1108
decimal.js	0	1162	1162
decimal.js	0	1170	1176
decimal.js	0	1180	1181
decimal.js	0	1208	1208
decimal.js	0	1254	1255
decimal.js	0	1283	1283
decimal.js	0	1286	1286
decimal.js	0	1335	1335
decimal.js	0	1370	1375
decimal.js	0	1408	1408
decimal.js	0	1421	1421
decimal.js	0	1424	1424
decimal.js	0	1431	1433
decimal.js	0	1437	1438
decimal.js	0	1443	1445
decimal.js	0	1451	1451
decimal.js	0	1474	1481
decimal.js	0	1525	1526
decimal.js	0	1639	1639
decimal.js	0	1678	1678
decimal.js	0	1686	1686
decimal.js	0	1705	1705
decimal.js	0	1746	1746
decimal.js	0	1778	1778
decimal.js	0	1912	1913
decimal.js	0	1916	1916
decimal.js	0	1939	1939
decimal.js	0	1968	1971
decimal.js	0	2067	2067
decimal.js	0	2074	2074
decimal.js	0	2132	2132
decimal.js	0	2175	2175
decimal.js	0	2300	2300
decimal.js	0	2313	2314
decimal.js	0	2325	2330
decimal.js	0	2333	2335
decimal.js	0	2345	2345
decimal.js	0	2348	2349
decimal.js	0	2352	2354
decimal.js	0	2357	2357
decimal.js	0	2362	2362
decimal.js	0	2386	2387
decimal.js	0	2424	2425
decimal.js	0	2437	2439
