counter;index;instructionType;totalChars 
0;0;original;86954 
1;1;ExpressionStatement;86941 
2;4;ExpressionStatement;86933 
3;4;ExpressionStatement;86924 
4;2;ExpressionStatement;86922 
5;3;ExpressionStatement;86868 
6;4;ExpressionStatement;86842 
8;5;ExpressionStatement;86683 
9;6;ExpressionStatement;86679 
10;6;ExpressionStatement;86671 
11;8;ExpressionStatement;86666 
12;9;ExpressionStatement;86666 
13;9;ExpressionStatement;86666 
14;9;ExpressionStatement;86666 
15;9;ExpressionStatement;86666 
17;12;ExpressionStatement;86571 
18;12;ExpressionStatement;86567 
19;14;ExpressionStatement;86553 
20;14;ExpressionStatement;86542 
21;14;ExpressionStatement;86529 
22;13;ExpressionStatement;86491 
23;13;ExpressionStatement;86487 
24;11;ExpressionStatement;86478 
25;12;ExpressionStatement;86449 
26;13;ExpressionStatement;86435 
27;13;ExpressionStatement;86417 
28;14;ExpressionStatement;86394 
29;12;ExpressionStatement;86387 
30;14;ExpressionStatement;86383 
31;12;ExpressionStatement;86372 
32;13;ExpressionStatement;86362 
33;13;ExpressionStatement;86344 
34;14;ExpressionStatement;86302 
35;12;ExpressionStatement;86277 
36;12;ExpressionStatement;86195 
37;12;ExpressionStatement;86123 
38;14;ExpressionStatement;86109 
39;14;ExpressionStatement;86106 
40;13;ExpressionStatement;86070 
41;12;ExpressionStatement;85963 
42;12;ExpressionStatement;85918 
43;13;ExpressionStatement;85741 
44;12;ExpressionStatement;85695 
45;12;ExpressionStatement;85687 
46;12;ExpressionStatement;85671 
47;12;ExpressionStatement;85664 
48;13;ExpressionStatement;85654 
49;14;ExpressionStatement;85615 
50;14;ExpressionStatement;85611 
51;12;ExpressionStatement;85601 
52;13;ExpressionStatement;85598 
53;14;ExpressionStatement;85576 
54;12;ExpressionStatement;85539 
55;13;ExpressionStatement;85558 
56;12;ExpressionStatement;85534 
57;12;ExpressionStatement;85516 
58;14;ExpressionStatement;85483 
59;12;ExpressionStatement;85447 
60;12;ExpressionStatement;85317 
61;12;ExpressionStatement;85317 
62;12;ExpressionStatement;85317 
63;12;ExpressionStatement;85296 
64;13;ExpressionStatement;85267 
65;12;ExpressionStatement;85259 
66;12;ExpressionStatement;85252 
67;13;ExpressionStatement;85247 
68;12;ExpressionStatement;85224 
69;12;ExpressionStatement;85199 
71;17;ExpressionStatement;85184 
72;17;ExpressionStatement;85150 
73;17;ExpressionStatement;85104 
74;17;ExpressionStatement;85023 
75;17;ExpressionStatement;84906 
76;18;ExpressionStatement;84798 
77;18;ExpressionStatement;84696 
78;18;ExpressionStatement;84596 
79;17;ExpressionStatement;84537 
80;19;ExpressionStatement;84510 
81;18;ExpressionStatement;84278 
82;19;ExpressionStatement;84263 
83;19;ExpressionStatement;84134 
84;18;ExpressionStatement;83871 
85;17;ExpressionStatement;83718 
86;19;ExpressionStatement;83238 
87;19;ExpressionStatement;82728 
88;19;ExpressionStatement;82637 
89;19;ExpressionStatement;82601 
90;19;ExpressionStatement;82565 
91;18;ExpressionStatement;82560 
92;17;ExpressionStatement;82532 
93;18;ExpressionStatement;82241 
94;19;ExpressionStatement;82236 
95;19;ExpressionStatement;82159 
96;17;ExpressionStatement;81856 
97;18;ExpressionStatement;81851 
98;19;ExpressionStatement;81839 
99;18;ExpressionStatement;81836 
100;17;ExpressionStatement;81370 
101;17;ExpressionStatement;81321 
102;18;ExpressionStatement;81306 
103;19;ExpressionStatement;81236 
104;17;ExpressionStatement;80971 
105;18;ExpressionStatement;80956 
106;19;ExpressionStatement;80874 
107;17;ExpressionStatement;80609 
108;19;ExpressionStatement;80491 
109;17;ExpressionStatement;80276 
110;18;ExpressionStatement;80248 
111;19;ExpressionStatement;80248 
112;17;ExpressionStatement;80192 
113;17;ExpressionStatement;79934 
114;19;ExpressionStatement;79891 
115;19;ExpressionStatement;79863 
116;19;ExpressionStatement;79838 
117;18;ExpressionStatement;79813 
118;19;ExpressionStatement;79753 
119;19;ExpressionStatement;79719 
120;18;ExpressionStatement;79704 
121;18;ExpressionStatement;79677 
122;18;ExpressionStatement;79658 
123;18;ExpressionStatement;79637 
124;18;ExpressionStatement;79616 
125;19;ExpressionStatement;79613 
126;18;ExpressionStatement;79607 
127;19;ExpressionStatement;79576 
128;18;ExpressionStatement;79553 
129;19;ExpressionStatement;79535 
130;18;ExpressionStatement;79531 
131;18;ExpressionStatement;79495 
132;18;ExpressionStatement;79484 
133;19;ExpressionStatement;79474 
134;19;ExpressionStatement;79453 
135;19;ExpressionStatement;79429 
136;19;ExpressionStatement;79425 
137;19;ExpressionStatement;79407 
138;19;ExpressionStatement;79377 
139;19;ExpressionStatement;79388 
140;19;ExpressionStatement;79359 
141;19;ExpressionStatement;79350 
142;18;ExpressionStatement;79320 
143;18;ExpressionStatement;79314 
144;18;ExpressionStatement;79273 
145;18;ExpressionStatement;79248 
146;19;ExpressionStatement;79236 
147;18;ExpressionStatement;79232 
148;18;ExpressionStatement;79230 
149;18;ExpressionStatement;79200 
150;19;ExpressionStatement;79193 
151;18;ExpressionStatement;79169 
152;19;ExpressionStatement;79159 
153;18;ExpressionStatement;79139 
154;18;ExpressionStatement;79120 
155;19;ExpressionStatement;79087 
156;19;ExpressionStatement;79070 
157;19;ExpressionStatement;79042 
158;18;ExpressionStatement;79009 
159;19;ExpressionStatement;79000 
160;19;ExpressionStatement;78991 
161;18;ExpressionStatement;78982 
162;18;ExpressionStatement;78973 
163;19;ExpressionStatement;78872 
164;18;ExpressionStatement;78845 
165;18;ExpressionStatement;78720 
166;18;ExpressionStatement;78688 
167;18;ExpressionStatement;78653 
168;19;ExpressionStatement;78649 
169;18;ExpressionStatement;78194 
170;18;ExpressionStatement;78176 
171;18;ExpressionStatement;78170 
172;18;ExpressionStatement;78132 
173;18;ExpressionStatement;78123 
174;18;ExpressionStatement;78109 
175;18;ExpressionStatement;78098 
176;18;ExpressionStatement;78086 
177;19;ExpressionStatement;78075 
178;19;ExpressionStatement;78062 
179;18;ExpressionStatement;78038 
180;19;ExpressionStatement;78029 
181;19;ExpressionStatement;78017 
182;18;ExpressionStatement;78003 
183;19;ExpressionStatement;77972 
184;18;ExpressionStatement;77962 
185;19;ExpressionStatement;77951 
